"TimeCreated","Id","LevelDisplayName","Message"
"03-07-2024 15:59:29","102","Information","svchost (20512,P,98) DS_Token_DB: The database engine (10.00.22621.0000) is starting a new instance (0)."
"03-07-2024 15:59:12","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 15:49:57","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T11:49:57Z. Reason: RulesEngine."
"03-07-2024 15:49:27","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 15:45:36","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T11:45:36Z. Reason: RulesEngine."
"03-07-2024 15:45:06","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 15:37:18","0","Information","PowerEvent handled successfully by the service."
"03-07-2024 14:51:33","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T10:50:33Z. Reason: RulesEngine."
"03-07-2024 14:51:03","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 14:31:05","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T10:31:05Z. Reason: RulesEngine."
"03-07-2024 14:30:32","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 14:26:45","0","Information","PowerEvent handled successfully by the service."
"03-07-2024 14:26:43","0","Information","PowerEvent handled successfully by the service."
"03-07-2024 14:22:34","0","Information","Service stopped."
"03-07-2024 14:22:20","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T10:22:20Z. Reason: RulesEngine."
"03-07-2024 14:21:50","0",,
"03-07-2024 14:21:47","0","Information","PowerEvent handled successfully by the service."
"03-07-2024 14:21:46","0","Information","PowerEvent handled successfully by the service."
"03-07-2024 14:21:45","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 14:20:47","0","Information","PowerEvent handled successfully by the service."
"03-07-2024 06:32:01","0",,
"03-07-2024 05:32:50","0","Information","PowerEvent handled successfully by the service."
"03-07-2024 05:32:49","0","Information","PowerEvent handled successfully by the service."
"03-07-2024 04:46:42","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T00:46:42Z. Reason: RulesEngine."
"03-07-2024 04:46:11","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 03:27:59","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-08T23:27:59Z. Reason: RulesEngine."
"03-07-2024 03:27:17","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 03:04:27","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-08T23:04:27Z. Reason: RulesEngine."
"03-07-2024 03:03:57","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 02:27:07","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-08T22:27:06Z. Reason: RulesEngine."
"03-07-2024 02:26:36","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 01:10:52","0","Information","Service stopped."
"03-07-2024 01:10:51","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-08T21:10:51Z. Reason: RulesEngine."
"03-07-2024 01:10:47","10001","Information","Ending session 1 started ?2024?-?07?-?02T19:57:23.445543000Z."
"03-07-2024 01:10:47","0",,
"03-07-2024 01:10:20","16394","Information","Offline downlevel migration succeeded."
"02-07-2024 23:57:27","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-08T19:57:27Z. Reason: RulesEngine."
